Column 1;Column 2 (V/s);Column 3 (V);Index;Time (s);Potential applied (V);WE(1).Current (A)
;;;5904;2516.50442164644;0.00091552734375;-0.0007891845703125
;;;5905;2516.53493964636;0.001068115234375;-0.00078765869140625
;;;5906;2516.56545764628;0.001220703125;-0.0007855224609375
;;;5907;2516.59597564621;0.001373291015625;-0.0007843017578125
;;;5908;2516.62649364613;0.00152587890625;-0.00078399658203125
;;;5909;2516.65701164605;0.001678466796875;-0.0007830810546875
;;;5910;2516.68752964597;0.0018310546875;-0.00078125
;;;5911;2516.7180476459;0.001983642578125;-0.00077880859375
;;;5912;2516.74856564582;0.00213623046875;-0.00077728271484375
;;;5913;2516.77908364574;0.002288818359375;-0.00077667236328125
;;;5914;2516.80960164567;0.00244140625;-0.0007769775390625
;;;5915;2516.84011964559;0.002593994140625;-0.0007757568359375
;;;5916;2516.87063764551;0.00274658203125;-0.00077392578125
;;;5917;2516.90115564544;0.002899169921875;-0.00077178955078125
;;;5918;2516.93167364536;0.0030517578125;-0.00077056884765625
;;;5919;2516.96219164528;0.003204345703125;-0.000770263671875
;;;5920;2516.9927096452;0.00335693359375;-0.00076934814453125
;;;5921;2517.02322764513;0.003509521484375;-0.0007684326171875
;;;5922;2517.05374564505;0.003662109375;-0.0007666015625
;;;5923;2517.08426364497;0.003814697265625;-0.00076416015625
;;;5924;2517.1147816449;0.00396728515625;-0.00076263427734375
;;;5925;2517.14529964482;0.004119873046875;-0.00076263427734375
;;;5926;2517.17581764474;0.0042724609375;-0.0007623291015625
;;;5927;2517.20633564467;0.004425048828125;-0.000760498046875
;;;5928;2517.23685364459;0.00457763671875;-0.0007586669921875
;;;5929;2517.26737164451;0.004730224609375;-0.0007574462890625
;;;5930;2517.29788964443;0.0048828125;-0.0007568359375
;;;5931;2517.32840764436;0.005035400390625;-0.0007562255859375
;;;5932;2517.35892564428;0.00518798828125;-0.00075469970703125
;;;5933;2517.3894436442;0.005340576171875;-0.00075347900390625
;;;5934;2517.41996164413;0.0054931640625;-0.00075225830078125
;;;5935;2517.45047964405;0.005645751953125;-0.000750732421875
;;;5936;2517.48099764397;0.00579833984375;-0.00074951171875
;;;5937;2517.51151564389;0.005950927734375;-0.00074798583984375
;;;5938;2517.54203364382;0.006103515625;-0.00074676513671875
;;;5939;2517.57255164374;0.006256103515625;-0.000745849609375
;;;5940;2517.60306964366;0.00640869140625;-0.00074462890625
;;;5941;2517.63358764359;0.006561279296875;-0.00074310302734375
;;;5942;2517.66410564351;0.0067138671875;-0.0007415771484375
;;;5943;2517.69462364343;0.006866455078125;-0.0007403564453125
;;;5944;2517.72514164336;0.00701904296875;-0.00074005126953125
;;;5945;2517.75565964328;0.007171630859375;-0.0007391357421875
;;;5946;2517.7861776432;0.00732421875;-0.00073760986328125
;;;5947;2517.81669564312;0.007476806640625;-0.000736083984375
;;;5948;2517.84721364305;0.00762939453125;-0.00073394775390625
;;;5949;2517.87773164297;0.007781982421875;-0.00073272705078125
;;;5950;2517.90824964289;0.0079345703125;-0.00073211669921875
;;;5951;2517.93876764282;0.008087158203125;-0.00073089599609375
;;;5952;2517.96928564274;0.00823974609375;-0.0007293701171875
;;;5953;2517.99980364266;0.008392333984375;-0.0007275390625
;;;5954;2518.03032164258;0.008544921875;-0.00072601318359375
;;;5955;2518.06083964251;0.008697509765625;-0.00072509765625
