Column 1;Column 2 (V/s);Column 3 (V);Index;Time (s);Potential applied (V);WE(1).Current (A)
;;;6113;6914.74489454195;0.032806396484375;-0.000400665283203125
;;;6114;6914.77541254187;0.032958984375;-0.000399658203125
;;;6115;6914.80593054179;0.033111572265625;-0.000398681640625
;;;6116;6914.83644854172;0.03326416015625;-0.000398101806640625
;;;6117;6914.86696654164;0.033416748046875;-0.000396087646484375
;;;6118;6914.89748454156;0.0335693359375;-0.000393951416015625
;;;6119;6914.92800254148;0.033721923828125;-0.000392669677734375
;;;6120;6914.95852054141;0.03387451171875;-0.00039129638671875
;;;6121;6914.98903854133;0.034027099609375;-0.0003909912109375
;;;6122;6915.01955654125;0.0341796875;-0.000389434814453125
;;;6123;6915.05007454118;0.034332275390625;-0.00038812255859375
;;;6124;6915.0805925411;0.03448486328125;-0.000386077880859375
;;;6125;6915.11111054102;0.034637451171875;-0.0003843994140625
;;;6126;6915.14162854095;0.0347900390625;-0.000383819580078125
;;;6127;6915.17214654087;0.034942626953125;-0.000382537841796875
;;;6128;6915.20266454079;0.03509521484375;-0.000381744384765625
;;;6129;6915.23318254071;0.035247802734375;-0.00038006591796875
;;;6130;6915.26370054064;0.035400390625;-0.000377777099609375
;;;6131;6915.29421854056;0.035552978515625;-0.0003765869140625
;;;6132;6915.32473654048;0.03570556640625;-0.000375213623046875
;;;6133;6915.35525454041;0.035858154296875;-0.0003748779296875
;;;6134;6915.38577254033;0.0360107421875;-0.000373443603515625
;;;6135;6915.41629054025;0.036163330078125;-0.00037139892578125
;;;6136;6915.44680854018;0.03631591796875;-0.00036968994140625
;;;6137;6915.4773265401;0.036468505859375;-0.000367645263671875
;;;6138;6915.50784454002;0.03662109375;-0.0003670654296875
;;;6139;6915.53836253994;0.036773681640625;-0.000366058349609375
;;;6140;6915.56888053987;0.03692626953125;-0.000364654541015625
;;;6141;6915.59939853979;0.037078857421875;-0.00036309814453125
;;;6142;6915.62991653971;0.0372314453125;-0.0003607177734375
;;;6143;6915.66043453964;0.037384033203125;-0.000359710693359375
;;;6144;6915.69095253956;0.03753662109375;-0.000358489990234375
;;;6145;6915.72147053948;0.037689208984375;-0.00035772705078125
;;;6146;6915.7519885394;0.037841796875;-0.00035675048828125
;;;6147;6915.78250653933;0.037994384765625;-0.0003546142578125
;;;6148;6915.81302453925;0.03814697265625;-0.000353302001953125
;;;6149;6915.84354253917;0.038299560546875;-0.0003514404296875
;;;6150;6915.8740605391;0.0384521484375;-0.00035064697265625
;;;6151;6915.90457853902;0.038604736328125;-0.0003499755859375
;;;6152;6915.93509653894;0.03875732421875;-0.000348388671875
;;;6153;6915.96561453887;0.038909912109375;-0.000346893310546875
;;;6154;6915.99613253879;0.0390625;-0.000344696044921875
;;;6155;6916.02665053871;0.039215087890625;-0.000343475341796875
;;;6156;6916.05716853863;0.03936767578125;-0.00034271240234375
;;;6157;6916.08768653856;0.039520263671875;-0.0003414306640625
;;;6158;6916.11820453848;0.0396728515625;-0.000340576171875
;;;6159;6916.1487225384;0.039825439453125;-0.000338043212890625
;;;6160;6916.17924053833;0.03997802734375;-0.000336578369140625
;;;6161;6916.20975853825;0.040130615234375;-0.0003350830078125
;;;6162;6916.24027653817;0.040283203125;-0.000333984375
;;;6163;6916.2707945381;0.040435791015625;-0.00033349609375
;;;6164;6916.30131253802;0.04058837890625;-0.00033160400390625
;;;6165;6916.33183053794;0.040740966796875;-0.000329803466796875
;;;6166;6916.36234853786;0.0408935546875;-0.00032794189453125
;;;6167;6916.39286653779;0.041046142578125;-0.00032647705078125
;;;6168;6916.42338453771;0.04119873046875;-0.000326019287109375
;;;6169;6916.45390253763;0.041351318359375;-0.000324737548828125
;;;6170;6916.48442053756;0.04150390625;-0.00032354736328125
;;;6171;6916.51493853748;0.041656494140625;-0.000321319580078125
;;;6172;6916.5454565374;0.04180908203125;-0.00031951904296875
;;;6173;6916.57597453732;0.041961669921875;-0.000318572998046875
;;;6174;6916.60649253725;0.0421142578125;-0.000317413330078125
;;;6175;6916.63701053717;0.042266845703125;-0.00031658935546875
;;;6176;6916.66752853709;0.04241943359375;-0.000314788818359375
;;;6177;6916.69804653702;0.042572021484375;-0.0003126220703125
;;;6178;6916.72856453694;0.042724609375;-0.000311248779296875
;;;6179;6916.75908253686;0.042877197265625;-0.00030987548828125
;;;6180;6916.78960053678;0.04302978515625;-0.000309326171875
;;;6181;6916.82011853671;0.043182373046875;-0.00030792236328125
;;;6182;6916.85063653663;0.0433349609375;-0.0003062744140625
;;;6183;6916.88115453655;0.043487548828125;-0.000304473876953125
;;;6184;6916.91167253648;0.04364013671875;-0.000302490234375
;;;6185;6916.9421905364;0.043792724609375;-0.000301788330078125
;;;6186;6916.97270853632;0.0439453125;-0.00030059814453125
;;;6187;6917.00322653625;0.044097900390625;-0.000299530029296875
;;;6188;6917.03374453617;0.04425048828125;-0.0002978515625
;;;6189;6917.06426253609;0.044403076171875;-0.0002957763671875
;;;6190;6917.09478053601;0.0445556640625;-0.000294464111328125
;;;6191;6917.12529853594;0.044708251953125;-0.0002930908203125
;;;6192;6917.15581653586;0.04486083984375;-0.00029266357421875
;;;6193;6917.18633453578;0.045013427734375;-0.0002913818359375
;;;6194;6917.21685253571;0.045166015625;-0.000289398193359375
;;;6195;6917.24737053563;0.045318603515625;-0.000287689208984375
